Index	ACLF1	ACLF2	ACLF3	ACLF4	ACLF5	ACLF7	ACLF8	ACLF10	ACLF11	ACLF12	ACLF14	DC8	Pvalue	Qvalue
f__Eubacteriaceae;g__Eubacterium	4.18E-04	1.44E-04	1.52E-06	0.002104448	2.99E-04	5.20E-05	2.19E-04	4.41E-05	7.08E-05	6.41E-05	0.002229775	0.001801877	0.0006 	0.040071781
f__Clostridiaceae;g__Clostridium	0.002119779	0.001768073	6.92E-04	0.021143831	0.003510903	0.001056289	0.006047003	3.18E-04	9.88E-04	0.001160867	0.004629778	0.005731465	0.0002 	0.032608333
f__Oscillospiraceae;g__Ruminococcus	0.001751477	2.44E-04	3.32E-05	0.007217873	0.001098892	8.14E-05	5.49E-04	8.83E-05	3.65E-05	5.02E-04	0.002678668	0.005179296	0.0034 	0.068007589
f__Lachnospiraceae;g__Blautia	8.30E-04	5.11E-04	2.98E-05	0.003485047	0.001674794	1.57E-04	7.56E-04	7.18E-05	8.29E-05	7.25E-04	0.002302766	0.001621023	0.0011 	0.050279108
f__Sutterellaceae;g__Sutterella	0.002806131	4.68E-05	6.55E-06	0.008556399	5.42E-05	4.76E-05	5.39E-05	4.14E-05	2.09E-05	4.50E-05	0.002727979	0.005809095	0.0092 	0.096178054
f__Coriobacteriaceae;g__Collinsella	0.001274461	2.07E-04	4.62E-05	0.001987822	6.03E-04	3.57E-05	3.41E-04	4.19E-05	9.44E-05	1.91E-04	0.004655044	0.001596714	0.0311 	0.164859568
f__Veillonellaceae;g__Dialister	1.13E-05	1.09E-05	1.94E-05	1.51E-04	1.71E-05	0.001146101	1.32E-05	1.45E-06	4.87E-06	4.23E-06	1.17E-05	4.75E-05	0.0327 	0.165681877
f__Lachnospiraceae;g__Anaerostipes	3.51E-05	5.22E-05	6.84E-05	2.38E-04	3.96E-04	2.50E-05	4.51E-05	1.12E-05	3.77E-05	1.02E-04	0.003919967	2.86E-04	0.0034 	0.068007589
f__Odoribacteraceae;g__Odoribacter	2.82E-04	5.79E-04	3.19E-06	0.012750993	2.03E-04	1.13E-04	1.97E-04	1.60E-04	7.72E-05	2.39E-04	6.44E-04	3.49E-04	0.0154 	0.123433468
f__Lachnospiraceae;g__Anaerobutyricum	2.44E-05	2.13E-05	0	6.78E-04	5.37E-04	5.82E-06	2.34E-05	2.53E-06	2.79E-06	3.02E-05	8.72E-05	2.97E-04	0.0002 	0.032608333
f__Lachnospiraceae;g__Roseburia	0.009690727	1.96E-04	3.34E-05	0.015751528	5.14E-04	1.11E-04	3.84E-04	5.84E-05	5.12E-05	2.09E-04	0.001040551	0.004912633	0.0030 	0.068007589
f__Lachnospiraceae;g__Lachnospira	2.77E-05	1.41E-05	1.20E-05	0.006042426	1.05E-04	5.53E-06	5.24E-05	6.42E-06	6.43E-05	4.02E-05	0.001885708	9.49E-04	0.0084 	4.09E-04
f__Prevotellaceae;g__Paraprevotella	2.41E-04	4.14E-04	1.81E-06	0.005478346	3.23E-04	2.14E-04	3.87E-04	3.91E-04	1.99E-04	1.42E-04	3.49E-04	2.93E-04	0.0002 	0.032608333
f__Enterobacteriaceae;g__Citrobacter	2.94E-05	5.30E-05	0.002936782	1.67E-04	4.09E-04	0.003440417	6.85E-04	1.23E-04	6.47E-05	0.001279857	8.55E-05	2.20E-04	0.0024 	0.068007589
f__Enterococcaceae;g__Enterococcus	1.76E-04	0.00292466	0.219718189	2.31E-04	2.19E-04	0.027964591	8.54E-04	0.016556218	0.59741619	0.029734049	4.15E-04	3.31E-04	0.0071 	0.084609376
f__Enterobacteriaceae;g__Enterobacter	1.65E-04	1.58E-04	0.316302874	0.011375609	0.001156246	0.00351222	0.004804753	0.001479864	9.57E-05	0.010686529	6.69E-04	0.00164618	0.0035 	0.068007589
f__Selenomonadaceae;g__Megamonas	7.22E-06	3.73E-06	0	4.59E-06	4.18E-06	1.34E-05	3.05E-05	1.35E-05	1.76E-05	3.12E-05	0.09955491	3.65E-05	0.0004 	0.033430986
f__Enterobacteriaceae;g__Klebsiella	0.006551784	4.22E-04	0.024672629	0.013834819	0.002459274	0.093188028	0.185218058	0.016569515	0.001810139	0.113358847	0.021804008	0.058347517	0.0011 	0.050279108
f__Enterobacteriaceae;g__Escherichia	9.36E-05	0.00529319	0.009056864	0.002734089	0.058828816	0.033742471	0.008240273	0.003364883	0.002001385	0.007778052	0.001366272	0.001273037	0.0405 	0.1876613
f__Rikenellaceae;g__Alistipes	7.26E-04	0.020572224	1.60E-05	0.009595633	9.30E-04	7.17E-04	0.001047612	0.001137878	4.33E-04	5.54E-04	6.31E-04	9.93E-04	0.0308 	0.164668574
f__Enterobacteriaceae;g__Shigella	7.76E-05	4.10E-04	0.005263217	5.77E-04	0.007149196	0.007509171	0.003338413	5.67E-04	2.63E-04	0.001764183	4.11E-04	9.20E-04	0.0078 	0.090031524
f__Enterobacteriaceae;g__Salmonella	2.25E-04	1.50E-04	0.005033592	7.21E-04	9.68E-04	0.002712827	0.003327362	3.22E-04	9.87E-05	0.001525331	5.55E-04	0.001241423	0.0057 	0.080996005
