Omics_1	Omics_2	Correlation	P-value
F_BA	NLR%	-0.092872244	0.553622274
F_BA	ANC%	0.016611296	0.915800565
F_BA	LYM%	0.091671072	0.558784971
F_BA	MONO%	-0.293018168	0.056530924
F_BA	PLT	0.319072618	0.037023636
F_BA	WBC	0.419904104	0.005059488
F_BA	RBC	0.517480935	0.000379977
F_BA	Hb	0.350980771	0.0210175
F_BA	Na	-0.140137513	0.370093249
F_BA	Urea	0.135155542	0.387514812
F_BA	Cre	-0.080791302	0.606541822
F_BA	ALB	0.384170984	0.0109786
F_BA	GLB	0.310654686	0.042606868
F_BA	TBiL	-0.110540622	0.480392836
F_BA	ALP	0.067842719	0.665549589
F_BA	PTA	0.191789117	0.217925837
F_BA	INR	-0.198066904	0.202948142
F_BA	AST	0.027574228	0.86066993
F_BA	ALT	0.217453771	0.161289489
