Variables	CHB (n = 17)	CC (n = 8)	DC (n = 13)	ACLF (n = 12)	P-value
					
Acetic acid, Mean ± SD	4.21 ± 1.72	3.71 ± 1.11	2.30 ± 1.17	2.34 ± 1.93	0.003
Butyric acid, M (Q₁, Q₃)	1.24 (0.90,1.44)	1.41 (0.90,2.15)	0.22 (0.09,1.10)	0.52 (0.19,1.29)	0.012
Propionic acid, M (Q₁, Q₃)	2.06 (1.08,2.78)	1.71 (1.08,2.05)	0.92 (0.07,1.55)	1.38 (0.72,2.25)	0.09
Valeric acid, M (Q₁, Q₃)	0.08 (0.02,0.20)	0.06 (0.05,0.12)	0.02 (0.01,0.13)	0.03 (0.01,0.05)	0.2
Heptanoic acid, M (Q₁, Q₃)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.392
Isobutyric acid, M (Q₁, Q₃)	0.09 (0.02,0.14)	0.07 (0.04,0.10)	0.05 (0.00,0.14)	0.03 (0.00,0.18)	0.776
2-Methylbutyrate, M (Q₁, Q₃)	0.02 (0.00,0.08)	0.03 (0.01,0.05)	0.03 (0.00,0.08)	0.02 (0.00,0.07)	0.888
Isovaleric acid, M (Q₁, Q₃)	0.05 (0.01,0.11)	0.05 (0.03,0.08)	0.06 (0.00,0.13)	0.03 (0.00,0.13)	0.93
4-Methylvaleric acid, M (Q₁, Q₃)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.152
SD: standard deviation, M: Median, Q₁: 1st Quartile, Q₃: 3st Quartile, CHB: Chronic hepatitis B, CC: Compensated hepatitis B cirrhosis, DC: Decompensated hepatitis B cirrhosis, ACLF: Acute-on-chronic liver failure, SCFAs: short-chain fatty acids					
