Variables	CHB (n = 17)	CC (n = 8)	DC (n = 13)	ACLF (n = 12)	P-value
					
Acetic acid, M (Q₁, Q₃)	1.21 (1.01,1.41)	1.20 (1.04,1.58)	1.70 (1.61,2.13)	1.97 (1.82,2.16)	<0.001
Butyric acid, M (Q₁, Q₃)	0.05 (0.03,0.06)	0.04 (0.04,0.05)	0.07 (0.05,0.18)	0.08 (0.07,0.10)	0.002
Propionic acid, M (Q₁, Q₃)	0.17 (0.14,0.23)	0.17 (0.17,0.25)	0.27 (0.23,0.46)	0.39 (0.28,0.47)	<0.001
Valeric acid, M (Q₁, Q₃)	0.01 (0.01,0.01)	0.01 (0.01,0.01)	0.02 (0.01,0.02)	0.01 (0.01,0.02)	0.093
Heptanoic acid, M (Q₁, Q₃)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.00 (0.00,0.00)	0.561
Isobutyric acid, M (Q₁, Q₃)	0.00 (0.00,0.01)	0.01 (0.00,0.01)	0.01 (0.00,0.04)	0.01 (0.00,0.02)	0.218
2-Methylbutyrate, M (Q₁, Q₃)	0.01 (0.00,0.01)	0.00 (0.00,0.01)	0.01 (0.00,0.02)	0.00 (0.00,0.01)	0.499
Isovaleric acid, M (Q₁, Q₃)	0.02 (0.01,0.02)	0.02 (0.01,0.02)	0.02 (0.02,0.04)	0.02 (0.01,0.03)	0.686
4-Methylvaleric acid, M (Q₁, Q₃)	0.01 (0.00,0.01)	0.00 (0.00,0.00)	0.00 (0.00,0.01)	0.00 (0.00,0.00)	0.013
M: Median, Q₁: 1st Quartile, Q₃: 3st Quartile, CHB: Chronic hepatitis B, CC: Compensated hepatitis B cirrhosis, DC: Decompensated hepatitis B cirrhosis, ACLF: Acute-on-chronic liver failure, SCFAs: short-chain fatty acids					
