Variables	ACLF_GLY (n = 6)	ACLF_ABX (n = 6)	FMT_CHB (n = 6)	FMT_CC (n = 6)	FMT_DC (n = 6)	FMT_ACLF (n = 6)	P-value
							
Acetic acid, M (Q₁, Q₃)	2579282.15 (2551129.30,2602898.33)	2731230.75 (2678500.55,2766937.75)	3710575.40 (3661788.90,3728660.80)	3275183.75 (3215888.80,3304404.67)	2135918.10 (2110675.35,2178914.40)	2043024.55 (2008038.90,2082537.35)	<0.001
Butyric acid, M (Q₁, Q₃)	1270996.60 (1253788.17,1286709.97)	1493873.60 (1464969.88,1521071.00)	2352580.75 (2331979.88,2392771.25)	2068255.85 (2036905.40,2125542.35)	1907247.10 (1876652.43,1967768.35)	1378746.55 (1378422.50,1405017.68)	<0.001
Propionic acid, M (Q₁, Q₃)	1160368.25 (1155212.00,1165010.75)	1420670.65 (1411968.10,1428044.80)	1198595.80 (1186690.20,1199006.30)	1276569.85 (1251067.62,1282902.15)	1222390.25 (1213553.12,1233530.25)	1217768.60 (1208529.82,1230465.10)	<0.001
Valeric acid, M (Q₁, Q₃)	91123.55 (90249.50,91707.80)	99260.85 (97879.67,100980.05)	50424.20 (50131.32,50654.45)	115983.35 (115543.80,116386.75)	94032.60 (93594.80,94376.80)	78738.40 (78237.10,79711.60)	<0.001
Heptanoic acid, Mean ± SD	3059.17 ± 497.52	3332.68 ± 82.71	3499.23 ± 78.93	2695.25 ± 73.06	2131.47 ± 65.87	2418.68 ± 50.16	<0.001
Isobutyric acid, M (Q₁, Q₃)	52503.25 (52101.72,53783.55)	64093.85 (62464.50,64694.88)	46589.45 (46295.07,47197.55)	46803.80 (46638.20,47030.38)	52410.70 (51878.38,52771.80)	38825.40 (38263.60,39432.88)	<0.001
2-Methylbutyrate, M (Q₁, Q₃)	40476.25 (40387.72,40741.55)	33585.80 (33359.55,33636.25)	41872.55 (41757.50,42063.88)	27460.35 (27248.47,27578.70)	36988.55 (36658.80,37245.55)	28660.55 (28333.58,28829.80)	<0.001
Isovaleric acid, M (Q₁, Q₃)	62242.90 (61728.73,62950.58)	56989.65 (56479.30,57429.80)	61865.30 (61366.25,62365.03)	44210.20 (43768.35,44596.63)	52930.45 (52239.28,53649.90)	43223.20 (42639.62,43456.15)	<0.001
4-Methylvaleric acid, Mean ± SD	1689.22 ± 71.38	1485.10 ± 92.51	1600.70 ± 110.83	1517.95 ± 58.13	1221.43 ± 79.06	1556.45 ± 166.93	<0.001
SD: standard deviation, M: Median, Q₁: 1st Quartile, Q₃: 3st Quartile							
