Taxonomy	Group	LDA_Score	P-value
Desulfovibrio	ACLF.ABX	3.67332715	0.000148 
Ileibacterium	ACLF.ABX	3.867041859	0.000011 
Faecalibaculum	ACLF.ABX	4.06281734	0.000034 
Lachnospiraceae_UCG_006	ACLF.ABX	4.147652442	0.000031 
Alistipes	FMT.CHB	3.741254154	0.000126 
Rikenellaceae_RC9_gut_group	FMT.CHB	4.043871846	0.000317 
Odoribacter	FMT.CHB	4.090656237	0.000013 
Allobaculum	FMT.CHB	4.933089067	0.000017 
Lachnoclostridium	FMT.CC	3.626634763	0.000034 
Lachnospiraceae_NK4A136_group	FMT.CC	4.165127319	0.000042 
Butyribacter	FMT.DC	3.919288589	0.000033 
Dubosiella	FMT.DC	4.288669111	0.000017 
Parabacteroides	FMT.ACLF	3.822027398	0.000013 
Oscillibacter	FMT.ACLF	3.869759666	0.000102 
Phascolarctobacterium	FMT.ACLF	3.952632545	0.000010 
Helicobacter	FMT.ACLF	4.02387007	0.000037 
Blautia	FMT.ACLF	4.069935528	0.000021 
Bacteroides	FMT.ACLF	4.553379207	0.000035 
Lactobacillus	FMT.ACLF	4.718655644	0.000046 
