		Control	Control+BA	ACLF	ACLF+BA
Liver	CD4+T	17.6	16.9	8.64	9.19
		15.1	15.6	9.29	9.07
		16.4	15.6	8.71	8.14
		15.5	16.6	8.67	7.98
		19.2	19.8	9.69	6.63
		19.6	15.4	9.37	6.41
					9.81
					7.49
	CD8+T	11.2	9.27	9.46	9.32
		11.3	11.7	9.44	9.44
		8.84	10.7	9.74	10.9
		7.9	10.6	10.8	10.9
		10.3	12.1	10	11.8
		11.1	10.7	9.94	11.2
					10.5
					11
	NK	15.7	15.4	1.5	1.45
		13.3	14.9	1.45	1.41
		10.6	9.78	1.5	1.33
		15.2	15.6	1.94	1.24
		15.5	15.7	1.88	1.61
		11.5	10.5	3.45	1.73
					3.98
					3.84
	NKT	3.17	4.15	1.09	1.28
		3.61	3.71	1.02	1.26
		4.35	3.89	1.27	1.35
		3.45	3.77	1.45	1.32
		3.27	3.07	1.33	1.7
		3.3	4	1.18	1.35
					1.26
					1.58
	Neutrophils	1.28	1.17	5.41	6.44
		1.83	0.99	6.01	5.29
		1.12	1.16	8.97	6.48
		1.86	1.53	7.85	6.32
		1.19	0.87	6.06	5.38
		1.24	1.84	9.67	6.08
					8.53
					5.17
	Macropahge	3.19	2.2	16	14.2
		3.63	2.47	17.7	14.1
		3.4	1.7	17.6	10.1
		3.36	2.5	16.7	13.3
		2.25	2.08	17.4	14.1
		3.05	3.03	13.5	11.4
					11.4
					17.7
	M1	2.65	1.76	15.7	14.4
		2.72	1.54	16.6	15.6
		0.99	2.24	17.8	13.9
		2.68	2.34	14.9	10.9
		2.45	1.74	15.2	12
		1.29	2.04	16.1	17
					10.4
					12.9
	M2	0.21	0.25	0.11	0.23
		0.29	0.49	0.13	0.28
		0.31	0.28	0.07	0.24
		0.3	0.51	0.14	0.27
		0.41	0.42	0.08	0.32
		0.35	0.26	0.11	0.16
					0.14
					0.19
	TNF-α+Neu	0.456	0.5	1.4	1.09
		0.13	0.45	1.4	1.1
		0.38	0.13	1.57	1.07
		0.14	0.15	1.32	1.13
		0.24	0.14	1.23	0.73
		0.21	0.15	0.95	0.51
					0.7
					0.64
	IL6+Neu	0.1056	0.52	2.95	1.14
		0.13	0.435	2.94	1.48
		0.19	0.12	1.98	1.42
		0.199	0.13	1.6	2
		0.41	0.0966	2.84	2.04
		0.5	0.0967	2.12	2.08
					1.22
					1.34
	IFNγ+Neu	0.11	0.28	1.13	1.02
		0.0957	0.25	1.12	0.81
		0.18	0.21	0.99	0.89
		0.26	0.14	1.01	0.76
		0.34	0.193	1.58	0.58
		0.27	0.0773	1.06	1.5
					1.64
					0.59
	TNF-α+M1	0.021	0.78	3.09	2.41
		0.034	0.74	3.35	1.83
		0.048	0.08	4.45	2.05
		0.074	0.057	4.74	2.34
		0.031	0.052	2.22	1.7
		0.011	0.033	2.24	1.91
					1.58
					2.52
	IL6+M1	0.9	1.3	3.88	3.6
		0.52	1.37	4.23	3.85
		0.21	0.77	4.31	1.86
		0.27	0.63	4.1	2.06
		0.52	0.6	3.7	1.96
		0.5	0.48	3.58	1.9
					2.38
					2.53
	IFNγ+M1	0.34	0.22	2.24	0.55
		0.54	0.23	2.86	0.5
		0.23	0.91	3.02	1.66
		0.27	0.62	2.17	1.7
		0.62	0.6	1.98	0.92
		0.41	0.54	2.08	0.99
					0.98
					1.21
