	long-term butyrate Supplementation			
Group	Control	Control+BA	ACLF	ACLF+BA
Masson	0.092	0.378	6.333	1.347
	0.404	0.138	5.215	1.289
	0.275	0.468	3.831	1.407
	0.51	0.341	4.571	1.994
MPO	0.15	0.148	0.413	0.278
	0.166	0.21	0.273	0.207
	0.187	0.132	0.285	0.231
	0.204	0.173	0.334	0.253
F4/80	0.461	0.307	2.55	2.34
	0.573	0.656	3.05	1.237
	0.64	0.666	3.175	1.525
	0.749	0.789	4.252	1.86
CD86	0.115	0.163	1.233	0.607
	0.254	0.172	1.545	0.506
	0.224	0.177	2.917	0.944
	0.311	0.136	1.802	0.741
CD206	0.529	0.486	0.297	0.552
	0.474	0.588	0.201	0.479
	0.582	0.604	0.136	0.298
	0.498	0.537	0.197	0.356
