ALT	Control	Control+BA	ACLF	ACLF+BA
	25	25	160	245
	20	25	390	150
	25	20	387.5	110
	25	20	150	120
	25	30	574.1	175
	35	15	138.8	116.4
				141.3
				177.8
				
				
AST	Control	Control+BA	ACLF	ACLF+BA
	135	140	252.9	405
	130	120	495	220
	130	205	330	185
	125	155	620	285
	190	110	525	225
	105	100	245	239
				296.2
				195.6
				
				
TBIL	Control	Control+BA	ACLF	ACLF+BA
	0.5	0.5	2.5	1
	1	0.5	3	2.5
	0.5	2	2	1.5
	1	1	4.38	1.5
	0.5	0.5	3.05	0.5
	1	2.5	4.45	4.48
				0.86
				4.02
				
				
CRE	Control	Control+BA	ACLF	ACLF+BA
	23.5	18.5	30	26.5
	21	26	32	30
	21.5	22.75	28	33.5
	21.5	20.75	33	26.5
	25	23	29.5	27
	19	21.25	22.47	34.5
				31
				30
				
				
UREA	Control	Control+BA	ACLF	ACLF+BA
	15.4	8.95	18.55	8.95
	12.85	11.05	12.25	5.25
	10.6	11.35	10.1	7.3
	7.3	10.1	17.75	7.3
	13.2	12.5	17.6	6.5
	9.95	10	15.4	9
				7.15
				7.1
				
				
				
